,abv,ibu,name,style,ounces
1883,0.068,65.0,Modus Hoperandi,American IPA,12.0
1884,0.058,15.0,Estival Cream Stout,American Stout,12.0
1885,0.058,35.0,Vernal Minthe Stout,American Stout,12.0
1886,0.08,35.0,Hibernal Vinifera Stout,Foreign / Export Stout,12.0
1887,0.056,35.0,Autumnal Molé Stout,American Stout,12.0
1888,0.042,18.0,Mexican Logger,American Pale Lager,12.0
1889,0.053,35.0,True Blonde Ale,American Blonde Ale,12.0
1890,0.061,35.0,Euphoria Pale Ale,American Pale Ale (APA),12.0
1891,0.057,58.0,ESB Special Ale,Extra Special / Strong Bitter (ESB),12.0
1893,0.058,39.0,Iron Butt Red Ale,American Amber / Red Ale,12.0
1894,0.071,92.0,Initial Point India Pale Ale,American IPA,12.0
1895,0.085,35.0,Monkey Dancing On A Razor Blade,Belgian IPA,1.9632799921165596
1896,0.082,35.0,Tripel Deke,Tripel,1.9632799921165596
1897,0.049,35.0,Urban Wilderness Pale Ale,English Pale Ale,12.0
1898,0.06,70.0,Homefront IPA,American IPA,12.0
1899,0.055,16.0,Sly Fox Christmas Ale 2013,Winter Warmer,12.0
1900,0.056,25.0,Grisette,Grisette,12.0
1901,0.062,35.0,360° India Pale Ale,American IPA,12.0
1902,0.049,18.0,Helles Golden Lager,Munich Helles Lager,12.0
1903,0.055,16.0,Sly Fox Christmas Ale 2012 (2012),Winter Warmer,12.0
1904,0.084,90.0,Odyssey Imperial IPA,American Double / Imperial IPA,12.0
1905,0.058,25.0,Oktoberfest Lager,Märzen / Oktoberfest,12.0
1906,0.07,113.0,113 IPA,American IPA,12.0
1907,0.053,21.0,Dunkel Lager,Munich Dunkel Lager,12.0
1908,0.056,11.0,Royal Weisse Ale,Hefeweizen,12.0
1909,0.049,44.0,Pikeland Pils,German Pilsener,12.0
1910,0.051,40.0,Phoenix Pale Ale,American Pale Ale (APA),12.0
1911,0.07,88.0,Rule G IPA,American IPA,12.0
1912,0.058,35.0,Murphy's Law,American Amber / Red Ale,12.0
1913,0.062,33.0,Alter Ego ,Saison / Farmhouse Ale,12.0
1914,0.05,35.0,Monarch Pilsner,American Pilsner,12.0
1915,0.06,55.0,Snow King Pale Ale,American Pale Ale (APA),12.0
1916,0.054,36.0,Zonker Stout,Foreign / Export Stout,12.0
1917,0.05,22.0,OB-1 Organic Ale,English Brown Ale,12.0
1918,0.05,18.0,Snake River Lager,Vienna Lager,12.0
1919,0.052,32.0,Snake River Pale Ale,American Pale Ale (APA),12.0
1920,0.068,60.0,Pako’s EyePA,American IPA,12.0
1921,0.05,35.0,Thanksgiving Ale,Kölsch,12.0
1922,0.092,35.0,Double Dagger Imperial IPA,American Double / Imperial IPA,12.0
1923,0.063,100.0,Dagger Falls IPA,American IPA,12.0
1925,0.06,35.0,Socktoberfest,Märzen / Oktoberfest,16.0
1926,0.079,35.0,Hopnoxious Imperial IPA,American Double / Imperial IPA,12.0
1927,0.099,35.0,Barrel Aged Seven Devils Imperial Stout,American Double / Imperial Stout,12.0
1928,0.055,35.0,Boise Co-Op Two Score Ale,Saison / Farmhouse Ale,16.0
1929,0.05,35.0,Sockeye Belgian Style Summer Ale,Witbier,16.0
1930,0.064,35.0,Sockeye Maibock,Maibock / Helles Bock,12.0
1931,0.099,100.0,Old Devil's Tooth,American Barleywine,12.0
1932,0.043,35.0,Galena Golden,American Blonde Ale,12.0
1933,0.052,32.0,Hell-Diver Pale Ale,American Pale Ale (APA),12.0
1934,0.046,12.0,Woolybugger Wheat,American Pale Wheat Ale,12.0
1935,0.057,35.0,Power House Porter,American Porter,12.0
1936,0.084,90.0,Winterfest,American Strong Ale,16.0
1938,0.07,18.0,LuckenBock,Bock,16.0
1939,0.055,40.0,Texas Pale Ale (TPA),American IPA,16.0
1940,0.08,35.0,6 String Saison,Saison / Farmhouse Ale,16.0
1941,0.05,22.0,Kol' Beer,Kölsch,16.0
1942,0.035,35.0,Montauk Light,Light Lager,12.0
1943,0.048,32.0,Na Zdraví Pilsner,Czech Pilsener,16.0
1944,0.055,65.0,Nice Rack IPA,American IPA,16.0
1945,0.075,72.0,2014 IPA Cicada Series,American IPA,16.0
1946,0.077,65.0,Sinister Minister Black IPA,American IPA,16.0
1947,0.053,45.0,Jack the Sipper,Extra Special / Strong Bitter (ESB),12.0
1948,0.058,60.0,Devil's Harvest Extra Pale Ale,American Pale Ale (APA),12.0
1949,0.05,20.0,Suzy B Dirty Blonde Ale,American Blonde Ale,12.0
1950,0.08,80.0,Mississippi Fire Ant,American Amber / Red Ale,16.0
1951,0.058,40.0,Hipster Breakfast,Oatmeal Stout,16.0
1952,0.05,20.0,Suzy B Dirty Blonde Ale,American Blonde Ale,16.0
1953,0.058,60.0,Devil's Harvest Extra Pale Ale,American Pale Ale (APA),16.0
1954,0.065,45.0,Pine Belt Pale Ale,American Pale Ale (APA),12.0
1955,0.055,35.0,Walloon,Saison / Farmhouse Ale,12.0
1956,0.069,23.0,Le Mort Vivant,Bière de Garde,12.0
1957,0.085,110.0,Red Cockaded Ale,American Double / Imperial IPA,12.0
1958,0.092,100.0,Valkyrie Double IPA,American Double / Imperial IPA,12.0
1959,0.085,110.0,Red Cockaded Ale (2013),American Double / Imperial IPA,12.0
1960,0.072,40.0,Old Potentate,Old Ale,12.0
1961,0.05,20.0,Bombshell Blonde,American Blonde Ale,16.0
1962,0.099,100.0,PRO-AM (2012) (2012),American Double / Imperial IPA,12.0
1963,0.055,35.0,Walloon (2014),Saison / Farmhouse Ale,12.0
1964,0.069,23.0,Le Mort Vivant (2011),Bière de Garde,12.0
1965,0.083,50.0,Buried Hatchet Stout,Foreign / Export Stout,12.0
1966,0.065,45.0,Pine Belt Pale Ale,American Pale Ale (APA),16.0
1967,0.05,20.0,Bombshell Blonde,American Blonde Ale,12.0
1968,0.047,35.0,Baby Daddy Session IPA,American IPA,12.0
1969,0.056,35.0,Hopluia (2004),English India Pale Ale (IPA),16.0
1970,0.058,35.0,Ball & Chain (2014),American Pale Ale (APA),16.0
1971,0.096,35.0,Bitter Biker Double IPA,American Double / Imperial IPA,16.0
1972,0.082,35.0,God Damn Pigeon Porter,American Porter,16.0
1973,0.079,35.0,Working for the Weekend,American Double / Imperial IPA,16.0
1974,0.06,35.0,Angry Adam,American Amber / Red Ale,16.0
1975,0.055,35.0,Freedom Fries,American Stout,16.0
1976,0.096,35.0,Bitter Biker Double IPA,American Double / Imperial IPA,12.0
1977,0.073,35.0,Ghost Bike Pale Ale,American Pale Ale (APA),16.0
1978,0.062,35.0,Spiteful IPA,American IPA,12.0
1979,0.06,35.0,Alley Time,American Pale Ale (APA),12.0
1980,0.058,35.0,Fat Badger,Irish Red Ale,12.0
1981,0.055,35.0,In the Weeds,American Pale Wheat Ale,12.0
1982,0.05,22.0,Special Amber,Vienna Lager,12.0
1984,0.056,35.0,Seven Gates Pale Ale,American Pale Ale (APA),12.0
1985,0.052,35.0,Gunga Din,Cider,16.0
1986,0.042,20.0,Starr Pils,German Pilsener,12.0
1987,0.065,52.0,Northern Lights India Pale Ale,American IPA,16.0
1988,0.048,12.0,Festie,Märzen / Oktoberfest,12.0
1989,0.065,52.0,Northern Lights India Pale Ale,American IPA,12.0
1990,0.065,65.0,Third Eye Enlightened Pale Ale,American Pale Ale (APA),12.0
1991,0.049,17.0,Colorado Kölsch,Kölsch,12.0
1992,0.057,25.0,Steam Engine Lager,American Amber / Red Lager,12.0
1993,0.065,65.0,Third Eye Pale Ale,American IPA,12.0
1994,0.047,9.0,Point Special (Current),American Adjunct Lager,12.0
1995,0.047,9.0,Point Special,American Adjunct Lager,12.0
1996,0.054,33.0,Point Cascade Pale Ale (2013),American Pale Ale (APA),12.0
1998,0.052,9.0,Onyx Black Ale,American Black Ale,12.0
1999,0.063,64.0,Beyond The Pale IPA,American IPA,12.0
2000,0.047,9.0,Point Special (2013),American Adjunct Lager,12.0
2001,0.047,9.0,Point Special (2012),American Adjunct Lager,12.0
2002,0.047,9.0,Point Special Lager,American Adjunct Lager,16.0
2003,0.062,35.0,St. Benedict's Winter Ale,Winter Warmer,12.0
2004,0.057,15.0,Point Oktoberfest,Märzen / Oktoberfest,16.0
2005,0.052,19.544779559320187,Point Nude Beach Summer Wheat,American Pale Wheat Ale,16.0
2006,0.05,19.544779559320187,Point Nude Beach Summer Wheat,American Pale Wheat Ale,12.0
2007,0.05,19.544779559320187,Point Nude Beach Summer Wheat (2011),American Pale Wheat Ale,12.0
2008,0.035,35.0,Drop Dead Blonde,American Blonde Ale,12.0
2009,0.049,13.0,Three Kings Ale,Kölsch,12.0
2010,0.057,15.0,Point Oktoberfest,Märzen / Oktoberfest,12.0
2011,0.054,32.0,2012 Black Ale,American Brown Ale,12.0
2012,0.05,19.544779559320187,Point Nude Beach Summer Wheat (2010),American Pale Wheat Ale,12.0
2013,0.054,33.0,Point Cascade Pale Ale,American Pale Ale (APA),12.0
2014,0.047,14.0,Point Amber Classic,American Amber / Red Lager,12.0
2015,0.047,9.0,Point Special Lager,American Adjunct Lager,12.0
2016,0.051,31.0,Wisco Disco,American Amber / Red Ale,16.0
2017,0.05,35.0,Brontide,American Black Ale,12.0
2019,0.045,35.0,Classique,Saison / Farmhouse Ale,12.0
2020,0.045,35.0,Sunsplash Golden Ale (2004),American Blonde Ale,12.0
2021,0.051,25.0,Sand Island Lighthouse,Kölsch,12.0
2022,0.05,30.0,Lily Flagg Milk Stout,Milk / Sweet Stout,12.0
2023,0.072,70.0,Monkeynaut IPA,American IPA,12.0
2024,0.05,35.0,Straub Beer (Current),American Adjunct Lager,12.0
2025,0.041,8.0,American Lager,American Adjunct Lager,12.0
2026,0.041,8.0,American Amber,American Amber / Red Lager,12.0
2027,0.032,13.0,American Light,Light Lager,12.0
2028,0.053,49.0,Extra Pale Ale,American Pale Ale (APA),12.0
2029,0.053,40.0,Make It So,Extra Special / Strong Bitter (ESB),12.0
2030,0.047,55.0,Hopvale Organic Ale,American Pale Ale (APA),16.0
2031,0.083,100.0,Unchained #18 Hop Silo,American Double / Imperial IPA,16.0
2032,0.052,29.0,Tip Off,Altbier,16.0
2033,0.054,35.0,Java Mac,Scottish Ale,16.0
2034,0.054,23.0,Cowbell,American Porter,16.0
2035,0.058,20.0,Hop Up Offa That Brett (2014),Belgian Pale Ale,16.0
2036,0.083,23.0,PV Muckle (2013),Scotch Ale / Wee Heavy,16.0
2037,0.099,36.0,Bourbon Barrel Batch 666: Sympathy for the Devil,Belgian Dark Ale,16.0
2038,0.09,30.0,Whip Fight,Scotch Ale / Wee Heavy,16.0
2039,0.053,23.0,Port Barrel Wee Mac ,Scotch Ale / Wee Heavy,16.0
2040,0.064,75.0,Fistful Of Hops Red,American IPA,16.0
2041,0.063,75.0,Fistful of Hops Orange,American IPA,16.0
2042,0.064,75.0,Fistful Of Hops Blue,American IPA,16.0
2043,0.064,75.0,Fistful of Hops Green,American IPA,16.0
2044,0.056,35.0,30 Min Coma,Belgian IPA,16.0
2045,0.09,30.0,Wee Muckle,Scotch Ale / Wee Heavy,16.0
2046,0.065,55.0,Royal Brat,Extra Special / Strong Bitter (ESB),16.0
2047,0.075,77.0,Grapefruit Jungle (GFJ),American IPA,16.0
2048,0.056,50.0,Osiris Pale Ale,American Pale Ale (APA),16.0
2049,0.099,75.0,Bourbon Barrel Aged Timmie,Russian Imperial Stout,16.0
2050,0.063,23.0,Stupid Sexy Flanders,Flanders Oud Bruin,16.0
2051,0.056,35.0,Bourbon Barrel Cowbell,American Porter,16.0
2052,0.054,35.0,Popcorn Pilsner,German Pilsener,16.0
2053,0.071,27.0,Ring of Dingle,Irish Dry Stout,16.0
2054,0.054,23.0,Bourbon Barrel Wee Mac,Scottish Ale,16.0
2055,0.099,60.0,Bourbon Barrel Johan,English Barleywine,16.0
2057,0.09,24.0,The Velvet Fog,Quadrupel (Quad),16.0
2058,0.055,23.0,Sun King Oktoberfest,Märzen / Oktoberfest,16.0
2059,0.052,24.0,Indianapolis Indians Lager,Dortmunder / Export Lager,16.0
2060,0.052,24.0,Indians Victory Lager (2012),Dortmunder / Export Lager,16.0
2062,0.091,91.0,Isis,American Double / Imperial IPA,16.0
2063,0.09,30.0,Wee Muckle (2011),Scotch Ale / Wee Heavy,16.0
2064,0.075,77.0,Grapefruit Jungle (GFJ) (2011),American IPA,16.0
2065,0.055,23.0,Sun King Oktoberfest (2011),Märzen / Oktoberfest,16.0
2066,0.099,60.0,Johan the Barleywine,English Barleywine,16.0
2067,0.054,23.0,Wee Mac Scottish-Style Ale,Scottish Ale,16.0
2068,0.053,20.0,Sunlight Cream Ale,Cream Ale,16.0
2069,0.056,50.0,Osiris Pale Ale (2010),American Pale Ale (APA),16.0
2070,0.045,35.0,Dam Lager,American Amber / Red Lager,12.0
2071,0.07,35.0,Red Clay IPA,American IPA,12.0
2072,0.072,35.0,Todd the Axe Man,American IPA,16.0
2073,0.057,35.0,Doomtree,Extra Special / Strong Bitter (ESB),16.0
2074,0.099,85.0,BLAKKR,American Black Ale,16.0
2075,0.073,69.0,Overrated! West Coast Style IPA,American IPA,16.0
2076,0.075,90.0,WET,American IPA,16.0
2077,0.04,37.0,Bitter Brewer,English Bitter,16.0
2078,0.055,34.0,SurlyFest,Rye Beer,16.0
2079,0.051,45.0,Coffee Bender,American Brown Ale,16.0
2080,0.051,45.0,Bender,American Brown Ale,16.0
2081,0.097,120.0,Abrasive Ale,American Double / Imperial IPA,16.0
2082,0.051,20.0,Hell,Keller Bier / Zwickel Bier,16.0
2083,0.067,33.0,CynicAle,Saison / Farmhouse Ale,16.0
2084,0.062,99.0,Furious,American IPA,16.0
2085,0.073,50.0,Big Nose,American IPA,12.0
2086,0.05,10.0,Cotton Mouth,Witbier,12.0
2087,0.056,35.0,Stump Knocker Pale Ale,American Pale Ale (APA),12.0
2088,0.05,38.0,Midnight Oil,Oatmeal Stout,12.0
2089,0.059,18.0,Wild Night,Cream Ale,12.0
2090,0.045,35.0,Bermuda Triangle Ginger Beer,Herbed / Spiced Beer,12.0
2091,0.055,35.0,Take Two Pils,German Pilsener,12.0
2092,0.057,35.0,Waterkeeper,Hefeweizen,12.0
2093,0.064,35.0,SweetWater IPA,American IPA,12.0
2094,0.054,35.0,420 Extra Pale Ale,American Pale Ale (APA),12.0
2095,0.08,95.0,Dodgy Knight Imperial IPA,American Double / Imperial IPA,12.0
2096,0.05,35.0,TailGate Saison,Saison / Farmhouse Ale,12.0
2097,0.05,44.0,TailGate IPA,American IPA,1.9632799921165596
2098,0.05,44.0,TailGate IPA,American IPA,12.0
2099,0.049,28.0,TailGate Hefeweizen,Hefeweizen,1.9632799921165596
2100,0.05,19.0,Blacktop Blonde,American Blonde Ale,1.9632799921165596
2101,0.05,19.0,Blacktop Blonde,American Blonde Ale,12.0
2102,0.049,28.0,TailGate Hefeweizen,Hefeweizen,12.0
2103,0.085,34.0,Wooden Rooster,Tripel,16.9
2104,0.048,20.0,Ginger Peach Saison,Saison / Farmhouse Ale,16.0
2105,0.062,35.0,Zombie Monkie,American Porter,16.0
2106,0.056,20.0,Wild Plum Farmhouse Ale,Saison / Farmhouse Ale,16.0
2107,0.05,20.0,Vanilla Bean Buffalo Sweat,Oatmeal Stout,16.0
2108,0.068,110.0,Ethos IPA,American IPA,16.0
2109,0.044,12.0,Tallgrass Pub Ale,American Brown Ale,16.0
2110,0.072,93.0,Oasis,Extra Special / Strong Bitter (ESB),16.0
2111,0.05,20.0,Buffalo Sweat,Milk / Sweet Stout,16.0
2112,0.05,20.0,Halcyon Unfiltered Wheat,American Pale Wheat Ale,16.0
2113,0.052,35.0,8-Bit Pale Ale,American Pale Ale (APA),16.0
2114,0.085,35.0,Velvet Rooster,Tripel,16.0
2115,0.05,20.0,Halcyon Unfiltered Wheat,American Pale Wheat Ale,12.0
2116,0.05,16.0,Köld Lager (2010),German Pilsener,16.0
2117,0.072,93.0,Oasis (2010),American Double / Imperial IPA,16.0
2118,0.044,22.0,Tallgrass Ale,American Brown Ale,16.0
2119,0.05,20.0,Buffalo Sweat (2010),Milk / Sweet Stout,16.0
2120,0.063,60.0,Tallgrass IPA,American IPA,16.0
2121,0.068,35.0,Hat Trick Hop IPA,American IPA,16.0
2122,0.056,35.0,Yard Sale Amber Ale,American Amber / Red Ale,16.0
2123,0.055,35.0,Loafin Bräu,Altbier,16.0
2124,0.07,80.0,Old Elephant Foot IPA,American IPA,16.0
2125,0.065,35.0,Peck's Porter,American Porter,16.0
2126,0.07,35.0,Reactor,American IPA,16.0
2127,0.057,35.0,Mr. Orange,Witbier,16.0
2128,0.08,22.0,Deduction,Dubbel,12.0
2129,0.057,35.0,Face Down Brown Ale,American Brown Ale,12.0
2130,0.064,35.0,Tempter IPA,American IPA,12.0
2131,0.055,35.0,Bridal Veil Rye Pale Ale,American Pale Ale (APA),12.0
2132,0.048,35.0,Smittytown,Extra Special / Strong Bitter (ESB),12.0
2133,0.04,35.0,Greenwood Beach,Fruit / Vegetable Beer,12.0
2134,0.066,35.0,Gatecrasher,English India Pale Ale (IPA),12.0
2135,0.047,42.0,RecreationAle,American Pale Ale (APA),12.0
2136,0.055,35.0,First Stand,Saison / Farmhouse Ale,12.0
2137,0.063,23.0,Battle LIne,American Brown Ale,12.0
2138,0.056,12.0,Broken Bridge,Dunkelweizen,12.0
2139,0.071,69.0,Brutus,English India Pale Ale (IPA),12.0
2140,0.06,35.0,Petit Mutant,American Wild Ale,16.0
2141,0.096,35.0,The Crusher,American Double / Imperial IPA,16.0
2142,0.08,35.0,Beelzebub,American Double / Imperial Stout,16.0
2143,0.07,35.0,Focal Banger,American IPA,16.0
2144,0.08,120.0,Heady Topper,American Double / Imperial IPA,16.0
2146,0.046,20.0,Bomber Mountain Amber Ale (2013),American Amber / Red Ale,12.0
2147,0.07,75.0,Indian Paintbrush IPA,American IPA,12.0
2148,0.048,16.0,Saddle Bronc Brown Ale (2013),English Brown Ale,12.0
2149,0.059,15.0,Wagon Box Wheat Beer,American Pale Wheat Ale,12.0
2150,0.05,35.0,Birdhouse Pale Ale,Belgian Pale Ale,12.0
2151,0.073,35.0,Ozzy,Belgian Pale Ale,12.0
2152,0.07,35.0,Resurrection,Dubbel,12.0
2153,0.052,16.0,Bronx Summer Pale Ale,American Pale Ale (APA),16.0
2154,0.057,46.0,Bronx Black Pale Ale,American Black Ale,16.0
2155,0.063,50.0,Bronx Pale Ale,American Pale Ale (APA),16.0
2156,0.052,35.0,Surfrider,American Pale Ale (APA),16.0
2157,0.055,35.0,Kolschtal Eddy,Kölsch,16.0
2158,0.05,35.0,South Bay Session IPA,American IPA,16.0
2159,0.069,34.0,Grandma's Pecan,English Brown Ale,16.0
2160,0.099,101.0,Double Trunk,American Double / Imperial IPA,16.0
2161,0.046,45.0,Just IPA,American IPA,12.0
2162,0.045,35.0,Lionshead,American Pilsner,12.0
2163,0.056,35.0,Manhattan Gold Lager (1990),American Amber / Red Lager,12.0
2164,0.052,35.0,G. B. Russo’s Italian Pistachio Pale Ale,American Pale Ale (APA),16.0
2165,0.058,35.0,Northern Hawk Owl Amber,American Amber / Red Ale,12.0
2166,0.059,35.0,CEO Stout,American Stout,16.0
2167,0.047,35.0,Will Power Pale Ale,American Pale Ale (APA),16.0
2168,0.044,35.0,Curious Traveler Shandy,Shandy,12.0
2169,0.048,18.0,Hunny Do Wheat,American Pale Wheat Ale,12.0
2170,0.052,35.0,Three Way Pale Ale,American Pale Ale (APA),12.0
2171,0.041,35.0,Rise to the Top,Cream Ale,12.0
2172,0.049,35.0,Lost Trout Brown Ale,American Brown Ale,12.0
2173,0.051,11.0,Watermelon Ale,Fruit / Vegetable Beer,12.0
2174,0.04,18.0,Knotty Blonde Ale,American Blonde Ale,12.0
2175,0.062,40.0,Fivepine Chocolate Porter,American Porter,12.0
2176,0.062,82.0,Hoodoo Voodoo IPA,American IPA,12.0
2177,0.053,22.0,Hydraulion Red,Irish Red Ale,12.0
2178,0.06,50.0,40 Mile IPA,American IPA,12.0
2179,0.055,64.0,Citra Faced,American Pale Wheat Ale,16.0
2180,0.055,31.0,Pole Barn Stout,Oatmeal Stout,16.0
2181,0.054,37.0,Pale,American Pale Ale (APA),16.0
2182,0.053,27.0,Yoshi's Nectar,California Common / Steam Beer,16.0
2183,0.052,35.0,Leatherhead Red,American Amber / Red Ale,12.0
2184,0.065,35.0,Cropduster Mid-American IPA,American IPA,12.0
2185,0.075,35.0,Golden Frau Honey Wheat,Braggot,12.0
2186,0.056,35.0,Cornstalker Dark Wheat,American Dark Wheat Ale,12.0
2187,0.058,20.0,Cafe Leche,American Porter,16.0
2188,0.052,12.0,Damascene Apricot Sour,Fruit / Vegetable Beer,16.0
2189,0.12,90.0,Csar,Russian Imperial Stout,16.0
2190,0.055,35.0,Klingon Warnog Roggen Dunkel,Roggenbier,16.0
2191,0.085,115.0,Overlord Imperial IPA,American Double / Imperial IPA,16.0
2192,0.058,36.0,Alloy,American IPA,16.0
2193,0.051,22.0,Rivet Irish Red Ale,Irish Red Ale,16.0
2194,0.052,50.0,3 Gear Robust Porter,American Porter,16.0
2195,0.045,35.0,Circuit Bohemian Pilsner,Czech Pilsener,16.0
2196,0.055,35.0,Turnrow Harvest Ale,American Blonde Ale,12.0
2197,0.07,60.0,Juke Joint IPA,American IPA,12.0
2198,0.07,35.0,Parade Ground Coffee Porter,American Porter,12.0
2199,0.05,21.0,Tin Roof Watermelon Wheat,Fruit / Vegetable Beer,12.0
2200,0.045,18.0,Tin Roof Blonde Ale,American Blonde Ale,12.0
2201,0.055,37.0,Voodoo Bengal Pale Ale,American Pale Ale (APA),12.0
2202,0.045,28.0,Perfect Tin Amber,American Amber / Red Ale,12.0
2203,0.073,87.0,IPA & a Half,American IPA,12.0
2204,0.055,33.0,Ornery Amber Lager (2003),Vienna Lager,12.0
2205,0.05,35.0,Big Island Shandy,Shandy,16.0
2206,0.068,35.0,Preservation IPA,American IPA,16.0
2207,0.062,72.0,Almanac IPA,American IPA,12.0
2208,0.065,35.0,Milk Mustachio Stout,Milk / Sweet Stout,12.0
2209,0.06,30.0,Farmer's Tan Red Ale,American Amber / Red Ale,12.0
2210,0.057,35.0,Triangle India Pale Ale,American IPA,12.0
2211,0.05,35.0,Triangle White Ale,Witbier,12.0
2212,0.08,35.0,Triangle Belgian Golden Ale,Belgian Strong Pale Ale,12.0
2213,0.082,35.0,Troegenator,Doppelbock,16.0
2214,0.075,93.0,Nugget Nectar,American Amber / Red Ale,16.0
2215,0.045,45.0,Sunshine Pils,American Pilsner,12.0
2216,0.082,25.0,Troegenator Doublebock,Doppelbock,16.0
2217,0.075,85.0,Perpetual IPA,American IPA,12.0
2218,0.055,52.0,Greenville Pale Ale,American Pale Ale (APA),12.0
2219,0.062,65.0,Hoppy Boy,American IPA,16.0
2220,0.054,26.0,Cow Creek,American Amber / Red Lager,12.0
2221,0.075,63.0,Chupahopra,American IPA,12.0
2222,0.051,19.0,Twisted X,American Adjunct Lager,12.0
2223,0.041,41.0,Day Hike Session,American IPA,12.0
2224,0.048,48.0,Trailhead ISA,American IPA,12.0
2225,0.052,27.0,Immersion Amber,American Amber / Red Ale,12.0
2226,0.062,70.0,Evo IPA,American IPA,12.0
2227,0.048,35.0,Presidential Pils,Czech Pilsener,12.0
2228,0.062,70.0,Evolutionary IPA (2012),American IPA,12.0
2229,0.057,36.0,Persnickety Pale,American Pale Ale (APA),12.0
2230,0.054,20.0,SoDo Brown Ale,American Brown Ale,12.0
2231,0.052,27.0,Immersion Amber Ale (2011),American Amber / Red Ale,12.0
2232,0.062,70.0,Evolutionary IPA (2011),American IPA,12.0
2233,0.048,48.0,Trailhead India Style Session Ale (2011),American IPA,12.0
2234,0.046,35.0,Panorama Wheat Ale,American Pale Wheat Ale,12.0
2235,0.063,69.0,Wobble,American IPA,16.0
2236,0.058,43.0,Night Cat,American Dark Wheat Ale,12.0
2237,0.058,43.0,Night Cat (2014),American Dark Wheat Ale,12.0
2238,0.051,17.0,Dog Days Lager,Dortmunder / Export Lager,12.0
2239,0.051,36.0,Sidekick Extra Pale Ale,American Pale Ale (APA),12.0
2240,0.077,23.0,Atom Smasher,Märzen / Oktoberfest,12.0
2241,0.045,35.0,Testudo,Bière de Garde,12.0
2242,0.065,35.0,Hobnob B & B Pale Ale,American Pale Ale (APA),12.0
2243,0.07,68.0,Cane and Ebel,American Strong Ale,12.0
2244,0.065,35.0,Outlaw IPA (2015),American IPA,12.0
2245,0.045,35.0,The Gilded Age,Munich Helles Lager,12.0
2246,0.05,35.0,No Limits Hefeweizen,Hefeweizen,16.0
2247,0.06,35.0,Honeyspot Road White IPA,American White IPA,12.0
2248,0.072,35.0,Road 2 Ruin Double IPA,American Double / Imperial IPA,12.0
2249,0.048,35.0,Workers Comp Saison,Saison / Farmhouse Ale,12.0
2250,0.05,35.0,Ol' Factory Pils,German Pilsener,12.0
2251,0.05,10.0,PUNK'N,Pumpkin Ale,12.0
2252,0.04,22.0,Yard Sale Winter Lager,American Amber / Red Lager,12.0
2253,0.04,42.0,Trader Session IPA,American IPA,12.0
2254,0.073,83.0,Hop Nosh IPA,American IPA,12.0
2255,0.04,17.0,SUM'R,American Blonde Ale,12.0
2256,0.04,32.0,Organic Baba Black Lager,Schwarzbier,12.0
2257,0.073,82.0,Hop Notch IPA (2013),American IPA,12.0
2258,0.04,34.0,Cutthroat Pale Ale,American Pale Ale (APA),12.0
2259,0.04,29.0,WYLD Extra Pale Ale,American Pale Ale (APA),12.0
2260,0.055,35.0,Pilsner Ukiah,German Pilsener,12.0
2261,0.06,75.0,The Green Room,American IPA,16.0
2262,0.047,25.0,Humbucker Helles,Maibock / Helles Bock,16.0
2263,0.065,35.0,Uncle John's Apple Cherry Cider,Cider,16.0
2264,0.065,35.0,Uncle John's Apricot Apple Cider,Cider,16.0
2265,0.065,35.0,Draught Hard Apple Cider,Cider,16.0
2266,0.001,35.0,Scotty K NA,Low Alcohol Beer,16.0
2267,0.068,35.0,Bacon Brown Ale,American Brown Ale,16.0
2268,0.064,35.0,Golden State Ale,Belgian Pale Ale,16.0
2269,0.078,35.0,Baltic Porter,Baltic Porter,16.0
2270,0.085,35.0,Siamese twin,Dubbel,16.0
2271,0.085,90.0,Double Duckpin,American Double / Imperial IPA,12.0
2272,0.042,10.0,Old Pro,Gose,12.0
2273,0.055,35.0,Duckpin Pale Ale,American Pale Ale (APA),12.0
2274,0.06,35.0,Balt Altbier,Altbier,12.0
2275,0.045,50.0,Campside Session IPA,American IPA,16.0
2276,0.045,15.0,Upland Wheat Ale,Witbier,16.0
2277,0.06,35.0,Dragonfly IPA,American IPA,16.0
2278,0.013225613032352278,35.0,Lee Hill Series Vol. 5 - Belgian Style Quadrupel Ale,Quadrupel (Quad),19.2
2279,0.104,35.0,Lee Hill Series Vol. 4 - Manhattan Style Rye Ale,Rye Beer,19.2
2280,0.068,24.0,Lee Hill Series Vol. 2 - Wild Saison,American Wild Ale,19.2
2281,0.099,51.0,Lee Hill Series Vol. 3 - Barrel Aged Imperial Stout,American Double / Imperial Stout,19.2
2282,0.076,35.0,Lee Hill Series Vol. 1 - Barrel Aged Brown Ale,American Brown Ale,19.2
2283,0.06,35.0,Blood Orange Saison,Saison / Farmhouse Ale,12.0
2284,0.065,33.0,Thai Style White IPA,American White IPA,12.0
2285,0.075,30.0,Ferus Fluxus Wild Belgian Pale Ale,American Wild Ale,19.2
2286,0.099,90.0,Upslope Imperial India Pale Ale,American Double / Imperial IPA,19.2
2287,0.082,35.0,Upslope Christmas Ale,Winter Warmer,16.0
2288,0.077,35.0,Upslope Pumpkin Ale,Pumpkin Ale,16.0
2289,0.075,30.0,Upslope Belgian Style Pale Ale,Belgian Pale Ale,12.0
2290,0.069,35.0,Upslope Foreign Style Stout,Foreign / Export Stout,12.0
