,abv,ibu,name,style,ounces
1571,0.087,85.0,G'KNIGHT (16 oz.),American Double / Imperial IPA,16.0
1572,0.09,35.0,15th Anniversary Abbey Ale (2012),Belgian Dark Ale,16.0
1573,0.08,35.0,Chaka,Belgian Strong Pale Ale,16.0
1574,0.08,70.0,HGH (Home Grown Hops): Part Duh,American Strong Ale,12.0
1575,0.08,35.0,Deviant Dale's IPA,American Double / Imperial IPA,16.0
1576,0.09,60.0,One Hit Wonder,American Double / Imperial IPA,12.0
1577,0.087,85.0,G'KNIGHT (12 oz.),American Double / Imperial IPA,12.0
1578,0.099,98.0,Ten Fidy Imperial Stout,Russian Imperial Stout,12.0
1579,0.053,35.0,Mama's Little Yella Pils,Czech Pilsener,12.0
1580,0.099,100.0,GUBNA Imperial IPA,American Double / Imperial IPA,12.0
1581,0.08,35.0,Old Chub,Scottish Ale,12.0
1582,0.087,85.0,Gordon Ale (2009),American Double / Imperial IPA,12.0
1584,0.092,85.0,Gordon (2005),American Double / Imperial IPA,12.0
1585,0.095,98.0,Ten Fidy Imperial Stout (2008),Russian Imperial Stout,12.0
1586,0.099,98.0,Ten Fidy Imperial Stout (2007),Russian Imperial Stout,12.0
1587,0.08,35.0,Old Chub (2008),Scottish Ale,12.0
1588,0.08,35.0,Old Chub (2004),Scottish Ale,12.0
1589,0.08,35.0,Old Chub (2003),Scottish Ale,12.0
1590,0.065,65.0,Dale's Pale Ale (2008),American Pale Ale (APA),12.0
1591,0.065,65.0,Dale's Pale Ale (2006),American Pale Ale (APA),12.0
1592,0.065,65.0,Dale's Pale Ale (2004),American Pale Ale (APA),12.0
1593,0.065,65.0,Dale's Pale Ale (2003),American Pale Ale (APA),12.0
1594,0.065,65.0,Dale's Pale Ale (2002),American Pale Ale (APA),12.0
1595,0.052,35.0,Leroy (2005),American Brown Ale,12.0
1596,0.087,60.0,Gordon Beer (2006),American Double / Imperial IPA,12.0
1597,0.087,85.0,G'KNIGHT,American Double / Imperial IPA,12.0
1598,0.099,98.0,Ten Fidy,Russian Imperial Stout,12.0
1599,0.08,85.0,Deviant Dale's IPA,American Double / Imperial IPA,16.0
1603,0.055,45.0,Fresh Slice White IPA,American White IPA,12.0
1604,0.055,55.0,Overgrown American Pale Ale,American Pale Ale (APA),12.0
1605,0.04,39.0,Ozark American Pale Ale,American Pale Ale (APA),12.0
1606,0.048,35.0,Hula Hoppie Session IPA,American IPA,12.0
1607,0.053,35.0,Dirty Hippie Dark Wheat,American Dark Wheat Ale,12.0
1608,0.052,23.0,Rustic Red,Irish Red Ale,16.0
1609,0.053,48.0,Stimulator Pale Ale,American Pale Ale (APA),16.0
1610,0.045,22.0,Old Town Ale,Kölsch,16.0
1611,0.044,28.0,Car 21,English Bitter,16.0
1612,0.05,24.0,Cache La Porter,American Porter,16.0
1613,0.042,35.0,Rodeo Rye Pale Ale,American Pale Ale (APA),12.0
1614,0.062,65.0,Outlaw IPA,American IPA,12.0
1615,0.044,35.0,North Fork Lager,American Pale Lager,12.0
1616,0.048,35.0,Payette Pale Ale,American Pale Ale (APA),12.0
1617,0.055,25.0,Mutton Buster,American Brown Ale,12.0
1618,0.05,35.0,Side Kick Kölsch,Kölsch,12.0
1619,0.046,35.0,Fresh Cut Pilsner,American Pilsner,12.0
1620,0.05,61.0,Summer Session Ale,American Pale Wheat Ale,12.0
1621,0.04,12.0,Lobo Lito,Light Lager,12.0
1622,0.05,17.0,Robert Earl Keen Honey Pils,American Pilsner,12.0
1623,0.065,77.0,Mound Builder IPA,American IPA,12.0
1624,0.062,62.0,Amazon Princess IPA,American IPA,12.0
1625,0.042,35.0,Farmer's Daughter Wheat,American Pale Wheat Ale,12.0
1626,0.045,35.0,People's Pilsner,German Pilsener,12.0
1627,0.055,10.0,Hotbox Brown,American Brown Ale,12.0
1628,0.048,15.0,Gold,American Blonde Ale,12.0
1629,0.058,35.0,Black,American Black Ale,12.0
1630,0.065,65.0,98 Problems (Cuz A Hop Ain't One),American IPA,12.0
1631,0.05,40.0,Veteran’s Pale Ale (VPA),American Pale Ale (APA),12.0
1632,0.05,35.0,Grapefruit IPA,American IPA,12.0
1633,0.051,35.0,Pete's ESP Lager (1998),American Pale Lager,12.0
1634,0.047,35.0,Pete's Wicked Summer Brew (1995),American Pale Wheat Ale,12.0
1635,0.049,35.0,Pete's Wicked Bohemian Pilsner (1997),Czech Pilsener,12.0
1636,0.056,35.0,Pete's Wicked Pale Ale (1997),American Pale Ale (APA),12.0
1637,0.047,35.0,Pete's Wicked Summer Brew (2002),American Pale Wheat Ale,12.0
1638,0.047,35.0,Pete's Wicked Summer Brew (1997),American Pale Wheat Ale,12.0
1639,0.047,35.0,Pete's Wicked Summer Brew (1996),American Pale Wheat Ale,12.0
1640,0.041,12.0,Sparkle,American Pale Lager,16.0
1641,0.059,25.0,North 45 Amber Ale,American Amber / Red Ale,16.0
1642,0.069,20.0,Horny Monk,Dubbel,16.0
1643,0.067,74.0,Mind's Eye PA,American IPA,16.0
1644,0.061,60.0,Camelback,American IPA,12.0
1645,0.056,35.0,Local 5 Pale Ale,American Pale Ale (APA),16.0
1646,0.073,35.0,Devils Head Red Ale,American Amber / Red Ale,16.0
1647,0.07,75.0,Elephant Rock IPA,American IPA,12.0
1648,0.05,35.0,Black Bay Milk Stout,Milk / Sweet Stout,12.0
1649,0.05,35.0,Atom Splitter Pale Ale,American Pale Ale (APA),12.0
1650,0.06,20.0,Hot Date Ale,Chile Beer,16.0
1651,0.07,35.0,Masked Bandit IPA,American Black Ale,16.0
1652,0.06,24.0,Sweet Potato Ale,Fruit / Vegetable Beer,16.0
1653,0.045,18.0,Float Trip Ale,American Blonde Ale,16.0
1654,0.055,25.0,Old Tom Porter,American Porter,16.0
1655,0.045,18.0,Black Walnut Wheat,American Dark Wheat Ale,16.0
1656,0.055,20.0,McKinney Eddy Amber Ale,American Amber / Red Ale,16.0
1657,0.07,70.0,Missouri Mule India Pale Ale,American IPA,16.0
1658,0.065,35.0,Blood of the Unicorn,American Amber / Red Ale,16.0
1659,0.069,51.0,GreyBeard™ IPA,American IPA,12.0
1660,0.057,31.0,Pisgah Pale Ale,American Pale Ale (APA),12.0
1661,0.045,35.0,PONTO S.I.P.A.,American IPA,16.0
1662,0.049,35.0,Chronic Ale,American Amber / Red Ale,16.0
1663,0.068,35.0,Swami's India Pale Ale,American IPA,16.0
1664,0.05,35.0,New Cleveland Palesner,American Pilsner,12.0
1665,0.054,45.0,Mazzie,American Pale Ale (APA),12.0
1666,0.099,35.0,Big Chuck Barleywine,American Barleywine,12.0
1667,0.056,35.0,Ponderosa IPA,American IPA,12.0
1668,0.056,35.0,Liquid Amber Ale,American Amber / Red Ale,12.0
1669,0.059,14.0,Morning Wood Wheat (Current),American Pale Wheat Ale,12.0
1670,0.069,17.0,Hideout Helles,Munich Helles Lager,12.0
1671,0.06,15.0,Dead Eye Dunkel,Munich Dunkel Lager,12.0
1672,0.058,21.0,Peacemaker Pilsner,Czech Pilsener,12.0
1673,0.057,68.0,Over the Rail Pale Ale,American Pale Ale (APA),12.0
1674,0.058,21.0,Pallavicini Pilsner (2009),Czech Pilsener,12.0
1676,0.052,18.0,Pyramid Hefeweizen (2011),Hefeweizen,12.0
1677,0.052,18.0,Haywire Hefeweizen (2010),Hefeweizen,16.0
1678,0.045,35.0,Golden Fleece,Belgian Pale Ale,12.0
1679,0.055,30.0,Smoking Mirror,American Porter,12.0
1680,0.046,35.0,Rahr's Blonde,Munich Helles Lager,12.0
1681,0.058,60.0,Pride of Texas Pale Ale,American Pale Ale (APA),12.0
1682,0.044,19.544779559320187,18th Anniversary Gose,Gose,12.0
1683,0.046,25.0,White (2015),Witbier,12.0
1684,0.099,85.0,BLAKKR,American Black Ale,12.0
1685,0.051,21.0,Firemans #4 Blonde Ale (2013),American Blonde Ale,12.0
1686,0.059,35.0,The Sword Iron Swan Ale,English Pale Ale,12.0
1687,0.053,52.0,Hans' Pils (2015),German Pilsener,12.0
1688,0.06,50.0,Four Squared (2015),American Blonde Ale,12.0
1689,0.051,21.0,Firemans #4 Blonde Ale (2015),American Blonde Ale,12.0
1690,0.072,55.0,Watership Brown Ale,American Brown Ale,12.0
1691,0.062,55.0,Gangway IPA,American IPA,12.0
1692,0.049,35.0,Long Day Lager,Czech Pilsener,12.0
1693,0.051,17.0,Farmer's Daughter Blonde,American Blonde Ale,16.0
1694,0.055,45.0,Pump House IPA,American IPA,16.0
1695,0.07,35.0,Suicide Blonde IPA,Belgian IPA,16.0
1696,0.047,25.0,Vanilla Porter,American Porter,16.0
1697,0.058,18.0,Honey Rye,Rye Beer,16.0
1698,0.055,35.0,Happy Cider,Cider,16.0
1699,0.065,44.0,Long Hammer IPA,American IPA,16.0
1700,0.065,44.0,Long Hammer IPA,American IPA,12.0
1701,0.058,27.0,Copper Hook (2011),American Amber / Red Ale,12.0
1702,0.08,35.0,Nectar of the Hops,Mead,16.0
1703,0.08,35.0,Sunshine Nectar,Mead,16.0
